player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Cameron Green,Square Drive,9,3,3,2,1,2,0,0,300.0,66.67,33.33,66.67,0.0
Cameron Green,Cut Shot,8,5,5,1,4,2,3,1,160.0,20.0,80.0,40.0,60.0
Cameron Green,Steered,8,5,5,3,2,1,1,1,160.0,60.0,40.0,20.0,20.0
Cameron Green,Leg Glance,6,4,4,2,2,1,1,0,150.0,50.0,50.0,25.0,25.0
Cameron Green,Sweep Shot,5,2,2,2,0,1,0,0,250.0,100.0,0.0,50.0,0.0
Cameron Green,Upper Cut,4,2,2,1,1,1,1,1,200.0,50.0,50.0,50.0,50.0
Cameron Green,Push,3,5,5,4,1,0,2,0,60.0,80.0,20.0,0.0,40.0
Cameron Green,Dab,2,5,5,5,0,0,3,0,40.0,100.0,0.0,0.0,60.0
Cameron Green,Defended,0,9,9,8,1,0,9,0,0.0,88.89,11.11,0.0,100.0
Cameron Green,Left Alone,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Cameron Green,Reverse Sweep,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Cameron Green,Unknown,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Cooper Connolly,On Drive,65,34,34,29,5,10,8,2,191.18,85.29,14.71,29.41,23.53
Cooper Connolly,Pull,52,14,14,10,4,9,3,1,371.43,71.43,28.57,64.29,21.43
Cooper Connolly,Unknown,36,27,3,2,1,6,13,2,133.33,66.67,33.33,22.22,48.15
Cooper Connolly,Cut Shot,36,21,21,13,8,7,8,0,171.43,61.9,38.1,33.33,38.1
Cooper Connolly,Cover Drive,35,21,21,15,6,6,6,1,166.67,71.43,28.57,28.57,28.57
Cooper Connolly,Flick,10,14,14,8,6,0,4,0,71.43,57.14,42.86,0.0,28.57
Cooper Connolly,Slog Shot,10,8,8,1,7,1,4,0,125.0,12.5,87.5,12.5,50.0
Cooper Connolly,Straight Drive,8,3,3,3,0,1,0,0,266.67,100.0,0.0,33.33,0.0
Cooper Connolly,Slog Sweep,7,3,3,1,2,1,1,0,233.33,33.33,66.67,33.33,33.33
Cooper Connolly,Square Drive,6,4,4,4,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Cooper Connolly,Steered,5,2,2,2,0,1,0,0,250.0,100.0,0.0,50.0,0.0
Cooper Connolly,Left Alone,0,3,3,3,0,0,3,0,0.0,100.0,0.0,0.0,100.0
Cooper Connolly,Defended,0,2,2,1,1,0,2,1,0.0,50.0,50.0,0.0,100.0
Cooper Connolly,Hook,0,2,2,0,2,0,2,0,0.0,0.0,100.0,0.0,100.0
Cooper Connolly,Push,0,2,2,2,0,0,2,0,0.0,100.0,0.0,0.0,100.0
Cooper Connolly,Leg Glance,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Corbin Bosch,Unknown,11,4,0,0,0,2,0,0,275.0,,,50.0,0.0
Danish Malewar,Cover Drive,2,2,2,0,2,0,0,0,100.0,0.0,100.0,0.0,0.0
Danish Malewar,Defended,0,2,2,0,2,0,2,1,0.0,0.0,100.0,0.0,100.0
Danish Malewar,Flick,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
David Miller,Unknown,38,33,0,0,0,6,15,2,115.15,,,18.18,45.45
David Miller,Pull,19,13,13,8,5,3,5,2,146.15,61.54,38.46,23.08,38.46
David Miller,On Drive,18,8,8,8,0,2,0,0,225.0,100.0,0.0,25.0,0.0
David Miller,Flick,17,16,16,13,3,1,5,0,106.25,81.25,18.75,6.25,31.25
David Miller,Cover Drive,15,4,4,4,0,3,0,0,375.0,100.0,0.0,75.0,0.0
David Miller,Slog Shot,6,2,2,1,1,1,1,0,300.0,50.0,50.0,50.0,50.0
David Miller,Cut Shot,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
David Miller,Straight Drive,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
David Miller,Left Alone,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
David Miller,Steered,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
David Miller,Defended,0,4,4,3,1,0,4,0,0.0,75.0,25.0,0.0,100.0
David Payne,On Drive,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
David Payne,Cover Drive,2,1,1,1,0,0,0,0,200.0,100.0,0.0,0.0,0.0
David Payne,Square Drive,2,1,1,1,0,0,0,0,200.0,100.0,0.0,0.0,0.0
David Payne,Flick,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Deepak Chahar,Cut Shot,5,2,2,1,1,1,0,0,250.0,50.0,50.0,50.0,0.0
Deepak Chahar,On Drive,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Deepak Chahar,Leg Glance,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Deepak Chahar,Pull,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Devdutt Padikkal,Cover Drive,53,19,19,15,4,9,5,0,278.95,78.95,21.05,47.37,26.32
Devdutt Padikkal,Flick,45,23,23,16,7,7,7,1,195.65,69.57,30.43,30.43,30.43
Devdutt Padikkal,Pull,40,22,22,17,5,6,3,0,181.82,77.27,22.73,27.27,13.64
Devdutt Padikkal,Cut Shot,29,16,16,10,6,6,5,1,181.25,62.5,37.5,37.5,31.25
Devdutt Padikkal,On Drive,24,16,16,13,3,3,5,2,150.0,81.25,18.75,18.75,31.25
Devdutt Padikkal,Hook,12,2,2,2,0,2,0,0,600.0,100.0,0.0,100.0,0.0
Devdutt Padikkal,Unknown,10,12,1,0,1,1,5,2,83.33,0.0,100.0,8.33,41.67
