season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,M Shahrukh Khan,4,11,4.91,6.09,275.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Rahul Tewatia,6,12,7.73,4.27,200.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Rashid Khan,16,24,23.67,0.33,150.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Sai Sudharsan,44,73,69.43,3.57,165.91
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Washington Sundar,2,4,2.42,1.58,200.0
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Abhishek Sharma,2,0,2.1,-2.1,0.0
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Aniket Verma,5,2,6.16,-4.16,40.0
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Harsh Dubey,1,0,1.17,-1.17,0.0
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Harshal Patel,2,4,2.25,1.75,200.0
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Heinrich Klaasen,41,62,51.92,10.08,151.22
2026,2026,1527683,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sunrisers Hyderabad,Lucknow Super Giants,Ishan Kishan,4,1,4.22,-3.22,25.0
