player,match_id,start_date,venue,innings,batting_team,opposition,own_15_ball_phase,phase_label,runs,balls,strike_rate,expected_runs,runs_above_expected,runs_above_expected_per_100,sr_points_vs_match,sr_points_vs_teammates,sr_points_vs_league_phase,difficulty_adjusted_sr,difficulty_adjustment_delta
Ishan Kishan,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1-15,14,9,155.56,11.43,2.57,28.53,-13.89,-23.72,9.97,140.5,-15.05
Nitish Kumar Reddy,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1-15,21,15,140.0,21.72,-0.72,-4.8,-29.44,-41.25,-6.11,126.45,-13.55
Nitish Kumar Reddy,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,2,16-30,18,9,200.0,16.82,1.18,13.06,30.56,18.75,39.58,180.65,-19.35
Salil Arora,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1-15,0,1,0.0,1.45,-1.45,-145.1,-169.44,-178.99,-145.93,0.0,0.0
Shivang Kumar,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1-15,4,2,200.0,2.98,1.02,51.01,30.56,22.88,54.15,180.65,-19.35
Travis Head,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1-15,34,15,226.67,20.56,13.44,89.59,57.22,57.98,80.74,204.74,-21.93
Travis Head,1527679,2026-04-02,"Eden Gardens, Kolkata",1,Sunrisers Hyderabad,Kolkata Knight Riders,2,16-30,12,6,200.0,10.81,1.19,19.88,30.56,31.31,38.26,180.65,-19.35
Ajinkya Rahane,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,8,10,80.0,12.48,-4.48,-44.84,-89.44,-88.6,-66.02,72.26,-7.74
Angkrish Raghuvanshi,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,30,15,200.0,19.66,10.34,68.95,30.56,49.25,53.96,180.65,-19.35
Angkrish Raghuvanshi,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,2,16-30,22,14,157.14,19.76,2.24,16.02,-12.3,6.4,-4.43,141.94,-15.2
Anukul Roy,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,0,2,0.0,2.3,-2.3,-114.84,-169.44,-162.77,-145.85,0.0,0.0
Cameron Green,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,2,2,100.0,2.01,-0.01,-0.55,-69.44,-60.64,-46.05,90.32,-9.68
Finn Allen,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,28,7,400.0,9.34,18.66,266.56,230.56,259.55,254.6,361.3,-38.7
Kartik Tyagi,1527679,2026-04-02,"Eden Gardens, Kolkata",2,Kolkata Knight Riders,Sunrisers Hyderabad,1,1-15,5,5,100.0,5.67,-0.67,-13.47,-69.44,-62.64,-45.91,90.32,-9.68
